idx_NUTS3,1,2,3,4,5,6,7
DE501,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE502,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE600,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE711,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE712,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE713,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE714,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE715,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE716,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE717,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE718,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE719,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE71A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE71B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE71C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE71D,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE71E,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE721,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE722,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE723,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE724,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE725,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE731,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE732,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE733,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE734,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE735,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE736,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE737,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE803,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE804,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE80J,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE80K,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE80L,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE80M,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE80N,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE80O,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE911,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE912,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE913,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE914,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE915,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE916,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE917,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE918,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE919,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE91A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE91B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE922,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE923,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE925,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE926,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE927,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE928,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE929,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE931,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE932,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE933,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE934,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE935,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE936,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE937,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE938,0.299,0.34,0.025,0.025,0.052,0.157,0.157
