country,NUTS0_ID,type_of_building,heating_equipment,year,heating_or_cooling,price_index_households_appliances,labour_cost_index_construction_sector,equipment_and_maintenance_index,specific_investment_costs,equipment_cost_ share,installation_cost_share,fixed_O_and_M,variable_O_and_M,technical_lifetime,total_annual_net_efficiency
Czech Republic,CZ,new SFH,HP Brine-to-Water,2050,heating,0.8,0.24,0.63,1.239,0.65,0.35,45.5,0,20,4.5
Denmark,DK,new SFH,HP Brine-to-Water,2050,heating,1,1,1,2.25,0.65,0.35,72.5,0,20,4.5
Estonia,EE,new SFH,HP Brine-to-Water,2050,heating,0.82,0.3,0.72,1.318,0.65,0.35,52.5,0,20,4.5
Finland,FI,new SFH,HP Brine-to-Water,2050,heating,0.94,0.87,0.92,2.041,0.65,0.35,66.5,0,20,4.5
France,FR,new SFH,HP Brine-to-Water,2050,heating,0.93,0.8,0.84,1.958,0.65,0.35,60.7,0,20,4.5
Germany,DE,new SFH,HP Brine-to-Water,2050,heating,0.89,0.69,0.82,1.8,0.65,0.35,59.6,0,20,4.5
Greece,EL,new SFH,HP Brine-to-Water,2050,heating,0.81,0.29,0.74,1.292,0.65,0.35,54,0,20,4.5
Hungary,HU,new SFH,HP Brine-to-Water,2050,heating,0.76,0.15,0.57,1.098,0.65,0.35,41.3,0,20,4.5
Ireland,IE,new SFH,HP Brine-to-Water,2050,heating,0.87,0.69,0.83,1.774,0.65,0.35,60,0,20,4.5
Italy,IT,new SFH,HP Brine-to-Water,2050,heating,0.94,0.6,0.87,1.775,0.65,0.35,62.7,0,20,4.5
Latvia,LV,new SFH,HP Brine-to-Water,2050,heating,0.76,0.19,0.68,1.136,0.65,0.35,49.4,0,20,4.5
Lithuania,LT,new SFH,HP Brine-to-Water,2050,heating,0.81,0.18,0.66,1.188,0.65,0.35,47.8,0,20,4.5
Luxembourg,LU,new SFH,HP Brine-to-Water,2050,heating,0.98,0.64,0.92,1.869,0.65,0.35,66.9,0,20,4.5
Malta,MT,new SFH,HP Brine-to-Water,2050,heating,1.16,0.24,0.85,1.675,0.65,0.35,61.7,0,20,4.5
Netherlands,NL,new SFH,HP Brine-to-Water,2050,heating,0.87,0.86,0.88,1.942,0.65,0.35,64,0,20,4.5
Poland,PL,new SFH,HP Brine-to-Water,2050,heating,0.66,0.19,0.52,1.013,0.65,0.35,37.8,0,20,4.5
Portugal,PT,new SFH,HP Brine-to-Water,2050,heating,1,0.3,0.77,1.547,0.65,0.35,56,0,20,4.5
Romania,RO,new SFH,HP Brine-to-Water,2050,heating,0.8,0.11,0.57,1.096,0.65,0.35,41.1,0,20,4.5
Slovakia,SK,new SFH,HP Brine-to-Water,2050,heating,0.81,0.24,0.66,1.237,0.65,0.35,48,0,20,4.5
Slovenia,SI,new SFH,HP Brine-to-Water,2050,heating,0.88,0.3,0.73,1.388,0.65,0.35,53.3,0,20,4.5
Spain,ES,new SFH,HP Brine-to-Water,2050,heating,0.89,0.51,0.82,1.623,0.65,0.35,59.2,0,20,4.5
Sweden,SE,new SFH,HP Brine-to-Water,2050,heating,1.01,1.02,0.98,2.277,0.65,0.35,71.1,0,20,4.5
United Kingdom,UK,new SFH,HP Brine-to-Water,2050,heating,0.87,0.71,0.85,1.794,0.65,0.35,61.4,0,20,4.5
Austria,AT,new MFH,HP Brine-to-Water,2050,heating,0.82,0.81,0.9,367,0.65,0.35,9,0,20,4.5
Belgium,BE,new MFH,HP Brine-to-Water,2050,heating,0.92,0.88,0.88,406,0.65,0.35,8.8,0,20,4.5
Bulgaria,BG,new MFH,HP Brine-to-Water,2050,heating,0.73,0.09,0.52,186,0.65,0.35,5.2,0,20,4.5
Croatia,HR,new MFH,HP Brine-to-Water,2050,heating,0.83,0.23,0.66,239,0.65,0.35,6.6,0,20,4.5
Cyprus,CY,new MFH,HP Brine-to-Water,2050,heating,1.02,0.36,0.73,310,0.65,0.35,7.3,0,20,4.5
Czech Republic,CZ,new MFH,HP Brine-to-Water,2050,heating,0.8,0.24,0.63,235,0.65,0.35,6.3,0,20,4.5
Denmark,DK,new MFH,HP Brine-to-Water,2050,heating,1,1,1,450,0.65,0.35,10,0,20,4.5
Estonia,EE,new MFH,HP Brine-to-Water,2050,heating,0.82,0.3,0.72,252,0.65,0.35,7.2,0,20,4.5
Finland,FI,new MFH,HP Brine-to-Water,2050,heating,0.94,0.87,0.92,407,0.65,0.35,9.2,0,20,4.5
France,FR,new MFH,HP Brine-to-Water,2050,heating,0.93,0.8,0.84,389,0.65,0.35,8.4,0,20,4.5
Germany,DE,new MFH,HP Brine-to-Water,2050,heating,0.89,0.69,0.82,356,0.65,0.35,8.2,0,20,4.5
Greece,EL,new MFH,HP Brine-to-Water,2050,heating,0.81,0.29,0.74,247,0.65,0.35,7.4,0,20,4.5
Hungary,HU,new MFH,HP Brine-to-Water,2050,heating,0.76,0.15,0.57,206,0.65,0.35,5.7,0,20,4.5
Ireland,IE,new MFH,HP Brine-to-Water,2050,heating,0.87,0.69,0.83,351,0.65,0.35,8.3,0,20,4.5
Italy,IT,new MFH,HP Brine-to-Water,2050,heating,0.94,0.6,0.87,347,0.65,0.35,8.7,0,20,4.5
Latvia,LV,new MFH,HP Brine-to-Water,2050,heating,0.76,0.19,0.68,214,0.65,0.35,6.8,0,20,4.5
Lithuania,LT,new MFH,HP Brine-to-Water,2050,heating,0.81,0.18,0.66,224,0.65,0.35,6.6,0,20,4.5
Luxembourg,LU,new MFH,HP Brine-to-Water,2050,heating,0.98,0.64,0.92,366,0.65,0.35,9.2,0,20,4.5
Malta,MT,new MFH,HP Brine-to-Water,2050,heating,1.16,0.24,0.85,314,0.65,0.35,8.5,0,20,4.5
Netherlands,NL,new MFH,HP Brine-to-Water,2050,heating,0.87,0.86,0.88,388,0.65,0.35,8.8,0,20,4.5
Poland,PL,new MFH,HP Brine-to-Water,2050,heating,0.66,0.19,0.52,192,0.65,0.35,5.2,0,20,4.5
Portugal,PT,new MFH,HP Brine-to-Water,2050,heating,1,0.3,0.77,294,0.65,0.35,7.7,0,20,4.5
Romania,RO,new MFH,HP Brine-to-Water,2050,heating,0.8,0.11,0.57,204,0.65,0.35,5.7,0,20,4.5
Slovakia,SK,new MFH,HP Brine-to-Water,2050,heating,0.81,0.24,0.66,235,0.65,0.35,6.6,0,20,4.5
Slovenia,SI,new MFH,HP Brine-to-Water,2050,heating,0.88,0.3,0.73,265,0.65,0.35,7.3,0,20,4.5
Spain,ES,new MFH,HP Brine-to-Water,2050,heating,0.89,0.51,0.82,316,0.65,0.35,8.2,0,20,4.5
Sweden,SE,new MFH,HP Brine-to-Water,2050,heating,1.01,1.02,0.98,456,0.65,0.35,9.8,0,20,4.5
United Kingdom,UK,new MFH,HP Brine-to-Water,2050,heating,0.87,0.71,0.85,355,0.65,0.35,8.5,0,20,4.5
Austria,AT,new SFH,Solar thermal,2015,heating,0.82,0.81,0.9,525,0.65,0.35,14.3,0,20,
Belgium,BE,new SFH,Solar thermal,2015,heating,0.92,0.88,0.88,584,0.65,0.35,14.1,0,20,
Bulgaria,BG,new SFH,Solar thermal,2015,heating,0.73,0.09,0.52,327,0.65,0.35,8.2,0,20,
Croatia,HR,new SFH,Solar thermal,2015,heating,0.83,0.23,0.66,400,0.65,0.35,10.6,0,20,
Cyprus,CY,new SFH,Solar thermal,2015,heating,1.02,0.36,0.73,506,0.65,0.35,11.8,0,20,
Czech Republic,CZ,new SFH,Solar thermal,2015,heating,0.8,0.24,0.63,390,0.65,0.35,10,0,20,
Denmark,DK,new SFH,Solar thermal,2015,heating,1,1,1,643,0.65,0.35,16,0,20,
Estonia,EE,new SFH,Solar thermal,2015,heating,0.82,0.3,0.72,410,0.65,0.35,11.6,0,20,
Finland,FI,new SFH,Solar thermal,2015,heating,0.94,0.87,0.92,587,0.65,0.35,14.7,0,20,
France,FR,new SFH,Solar thermal,2015,heating,0.93,0.8,0.84,567,0.65,0.35,13.4,0,20,
Germany,DE,new SFH,Solar thermal,2015,heating,0.89,0.69,0.82,527,0.65,0.35,13.2,0,20,
Greece,EL,new SFH,Solar thermal,2015,heating,0.81,0.29,0.74,403,0.65,0.35,11.9,0,20,
Hungary,HU,new SFH,Solar thermal,2015,heating,0.76,0.15,0.57,353,0.65,0.35,9.1,0,20,
Ireland,IE,new SFH,Solar thermal,2015,heating,0.87,0.69,0.83,518,0.65,0.35,13.2,0,20,
Italy,IT,new SFH,Solar thermal,2015,heating,0.94,0.6,0.87,529,0.65,0.35,13.8,0,20,
Latvia,LV,new SFH,Solar thermal,2015,heating,0.76,0.19,0.68,361,0.65,0.35,10.9,0,20,
Lithuania,LT,new SFH,Solar thermal,2015,heating,0.81,0.18,0.66,380,0.65,0.35,10.6,0,20,
Luxembourg,LU,new SFH,Solar thermal,2015,heating,0.98,0.64,0.92,556,0.65,0.35,14.8,0,20,
Malta,MT,new SFH,Solar thermal,2015,heating,1.16,0.24,0.85,538,0.65,0.35,13.6,0,20,
Netherlands,NL,new SFH,Solar thermal,2015,heating,0.87,0.86,0.88,555,0.65,0.35,14.1,0,20,
Poland,PL,new SFH,Solar thermal,2015,heating,0.66,0.19,0.52,319,0.65,0.35,8.3,0,20,
Portugal,PT,new SFH,Solar thermal,2015,heating,1,0.3,0.77,487,0.65,0.35,12.4,0,20,
Romania,RO,new SFH,Solar thermal,2015,heating,0.8,0.11,0.57,357,0.65,0.35,9.1,0,20,
Slovakia,SK,new SFH,Solar thermal,2015,heating,0.81,0.24,0.66,390,0.65,0.35,10.6,0,20,
Slovenia,SI,new SFH,Solar thermal,2015,heating,0.88,0.3,0.73,434,0.65,0.35,11.8,0,20,
Spain,ES,new SFH,Solar thermal,2015,heating,0.89,0.51,0.82,488,0.65,0.35,13.1,0,20,
Sweden,SE,new SFH,Solar thermal,2015,heating,1.01,1.02,0.98,650,0.65,0.35,15.7,0,20,
United Kingdom,UK,new SFH,Solar thermal,2015,heating,0.87,0.71,0.85,522,0.65,0.35,13.6,0,20,
Austria,AT,new MFH,Solar thermal,2015,heating,0.82,0.81,0.9,473,0.65,0.35,2.7,0,20,
Belgium,BE,new MFH,Solar thermal,2015,heating,0.92,0.88,0.88,526,0.65,0.35,2.6,0,20,
Bulgaria,BG,new MFH,Solar thermal,2015,heating,0.73,0.09,0.52,294,0.65,0.35,1.5,0,20,
Croatia,HR,new MFH,Solar thermal,2015,heating,0.83,0.23,0.66,360,0.65,0.35,2,0,20,
Cyprus,CY,new MFH,Solar thermal,2015,heating,1.02,0.36,0.73,456,0.65,0.35,2.2,0,20,
Czech Republic,CZ,new MFH,Solar thermal,2015,heating,0.8,0.24,0.63,351,0.65,0.35,1.9,0,20,
Denmark,DK,new MFH,Solar thermal,2015,heating,1,1,1,579,0.65,0.35,3,0,20,
Estonia,EE,new MFH,Solar thermal,2015,heating,0.82,0.3,0.72,369,0.65,0.35,2.2,0,20,
Finland,FI,new MFH,Solar thermal,2015,heating,0.94,0.87,0.92,529,0.65,0.35,2.8,0,20,
France,FR,new MFH,Solar thermal,2015,heating,0.93,0.8,0.84,511,0.65,0.35,2.5,0,20,
Germany,DE,new MFH,Solar thermal,2015,heating,0.89,0.69,0.82,474,0.65,0.35,2.5,0,20,
Greece,EL,new MFH,Solar thermal,2015,heating,0.81,0.29,0.74,362,0.65,0.35,2.2,0,20,
Hungary,HU,new MFH,Solar thermal,2015,heating,0.76,0.15,0.57,317,0.65,0.35,1.7,0,20,
Ireland,IE,new MFH,Solar thermal,2015,heating,0.87,0.69,0.83,466,0.65,0.35,2.5,0,20,
Italy,IT,new MFH,Solar thermal,2015,heating,0.94,0.6,0.87,476,0.65,0.35,2.6,0,20,
Latvia,LV,new MFH,Solar thermal,2015,heating,0.76,0.19,0.68,325,0.65,0.35,2,0,20,
Lithuania,LT,new MFH,Solar thermal,2015,heating,0.81,0.18,0.66,342,0.65,0.35,2,0,20,
Luxembourg,LU,new MFH,Solar thermal,2015,heating,0.98,0.64,0.92,500,0.65,0.35,2.8,0,20,
Malta,MT,new MFH,Solar thermal,2015,heating,1.16,0.24,0.85,484,0.65,0.35,2.6,0,20,
Netherlands,NL,new MFH,Solar thermal,2015,heating,0.87,0.86,0.88,500,0.65,0.35,2.6,0,20,
Poland,PL,new MFH,Solar thermal,2015,heating,0.66,0.19,0.52,287,0.65,0.35,1.6,0,20,
Portugal,PT,new MFH,Solar thermal,2015,heating,1,0.3,0.77,438,0.65,0.35,2.3,0,20,
Romania,RO,new MFH,Solar thermal,2015,heating,0.8,0.11,0.57,321,0.65,0.35,1.7,0,20,
Slovakia,SK,new MFH,Solar thermal,2015,heating,0.81,0.24,0.66,351,0.65,0.35,2,0,20,
Slovenia,SI,new MFH,Solar thermal,2015,heating,0.88,0.3,0.73,391,0.65,0.35,2.2,0,20,
Spain,ES,new MFH,Solar thermal,2015,heating,0.89,0.51,0.82,439,0.65,0.35,2.5,0,20,
Sweden,SE,new MFH,Solar thermal,2015,heating,1.01,1.02,0.98,585,0.65,0.35,2.9,0,20,
United Kingdom,UK,new MFH,Solar thermal,2015,heating,0.87,0.71,0.85,470,0.65,0.35,2.5,0,20,
Austria,AT,new SFH,Solar thermal,2020,heating,0.82,0.81,0.9,525,0.65,0.35,14.3,0,25,
Belgium,BE,new SFH,Solar thermal,2020,heating,0.92,0.88,0.88,584,0.65,0.35,14.1,0,25,
Bulgaria,BG,new SFH,Solar thermal,2020,heating,0.73,0.09,0.52,327,0.65,0.35,8.2,0,25,
Croatia,HR,new SFH,Solar thermal,2020,heating,0.83,0.23,0.66,400,0.65,0.35,10.6,0,25,
Cyprus,CY,new SFH,Solar thermal,2020,heating,1.02,0.36,0.73,506,0.65,0.35,11.8,0,25,
Czech Republic,CZ,new SFH,Solar thermal,2020,heating,0.8,0.24,0.63,390,0.65,0.35,10,0,25,
Denmark,DK,new SFH,Solar thermal,2020,heating,1,1,1,643,0.65,0.35,16,0,25,
Estonia,EE,new SFH,Solar thermal,2020,heating,0.82,0.3,0.72,410,0.65,0.35,11.6,0,25,
Finland,FI,new SFH,Solar thermal,2020,heating,0.94,0.87,0.92,587,0.65,0.35,14.7,0,25,
France,FR,new SFH,Solar thermal,2020,heating,0.93,0.8,0.84,567,0.65,0.35,13.4,0,25,
Germany,DE,new SFH,Solar thermal,2020,heating,0.89,0.69,0.82,527,0.65,0.35,13.2,0,25,
Greece,EL,new SFH,Solar thermal,2020,heating,0.81,0.29,0.74,403,0.65,0.35,11.9,0,25,
Hungary,HU,new SFH,Solar thermal,2020,heating,0.76,0.15,0.57,353,0.65,0.35,9.1,0,25,
Ireland,IE,new SFH,Solar thermal,2020,heating,0.87,0.69,0.83,518,0.65,0.35,13.2,0,25,
Italy,IT,new SFH,Solar thermal,2020,heating,0.94,0.6,0.87,529,0.65,0.35,13.8,0,25,
Latvia,LV,new SFH,Solar thermal,2020,heating,0.76,0.19,0.68,361,0.65,0.35,10.9,0,25,
Lithuania,LT,new SFH,Solar thermal,2020,heating,0.81,0.18,0.66,380,0.65,0.35,10.6,0,25,
Luxembourg,LU,new SFH,Solar thermal,2020,heating,0.98,0.64,0.92,556,0.65,0.35,14.8,0,25,
Malta,MT,new SFH,Solar thermal,2020,heating,1.16,0.24,0.85,538,0.65,0.35,13.6,0,25,
Netherlands,NL,new SFH,Solar thermal,2020,heating,0.87,0.86,0.88,555,0.65,0.35,14.1,0,25,
Poland,PL,new SFH,Solar thermal,2020,heating,0.66,0.19,0.52,319,0.65,0.35,8.3,0,25,
Portugal,PT,new SFH,Solar thermal,2020,heating,1,0.3,0.77,487,0.65,0.35,12.4,0,25,
Romania,RO,new SFH,Solar thermal,2020,heating,0.8,0.11,0.57,357,0.65,0.35,9.1,0,25,
Slovakia,SK,new SFH,Solar thermal,2020,heating,0.81,0.24,0.66,390,0.65,0.35,10.6,0,25,
Slovenia,SI,new SFH,Solar thermal,2020,heating,0.88,0.3,0.73,434,0.65,0.35,11.8,0,25,
Spain,ES,new SFH,Solar thermal,2020,heating,0.89,0.51,0.82,488,0.65,0.35,13.1,0,25,
Sweden,SE,new SFH,Solar thermal,2020,heating,1.01,1.02,0.98,650,0.65,0.35,15.7,0,25,
United Kingdom,UK,new SFH,Solar thermal,2020,heating,0.87,0.71,0.85,522,0.65,0.35,13.6,0,25,
Austria,AT,new MFH,Solar thermal,2020,heating,0.82,0.81,0.9,473,0.65,0.35,2.7,0,25,
Belgium,BE,new MFH,Solar thermal,2020,heating,0.92,0.88,0.88,526,0.65,0.35,2.6,0,25,
Bulgaria,BG,new MFH,Solar thermal,2020,heating,0.73,0.09,0.52,294,0.65,0.35,1.5,0,25,
Croatia,HR,new MFH,Solar thermal,2020,heating,0.83,0.23,0.66,360,0.65,0.35,2,0,25,
Cyprus,CY,new MFH,Solar thermal,2020,heating,1.02,0.36,0.73,456,0.65,0.35,2.2,0,25,
Czech Republic,CZ,new MFH,Solar thermal,2020,heating,0.8,0.24,0.63,351,0.65,0.35,1.9,0,25,
Denmark,DK,new MFH,Solar thermal,2020,heating,1,1,1,579,0.65,0.35,3,0,25,
Estonia,EE,new MFH,Solar thermal,2020,heating,0.82,0.3,0.72,369,0.65,0.35,2.2,0,25,
Finland,FI,new MFH,Solar thermal,2020,heating,0.94,0.87,0.92,529,0.65,0.35,2.8,0,25,
France,FR,new MFH,Solar thermal,2020,heating,0.93,0.8,0.84,511,0.65,0.35,2.5,0,25,
Germany,DE,new MFH,Solar thermal,2020,heating,0.89,0.69,0.82,474,0.65,0.35,2.5,0,25,
Greece,EL,new MFH,Solar thermal,2020,heating,0.81,0.29,0.74,362,0.65,0.35,2.2,0,25,
Hungary,HU,new MFH,Solar thermal,2020,heating,0.76,0.15,0.57,317,0.65,0.35,1.7,0,25,
Ireland,IE,new MFH,Solar thermal,2020,heating,0.87,0.69,0.83,466,0.65,0.35,2.5,0,25,
Italy,IT,new MFH,Solar thermal,2020,heating,0.94,0.6,0.87,476,0.65,0.35,2.6,0,25,
Latvia,LV,new MFH,Solar thermal,2020,heating,0.76,0.19,0.68,325,0.65,0.35,2,0,25,
Lithuania,LT,new MFH,Solar thermal,2020,heating,0.81,0.18,0.66,342,0.65,0.35,2,0,25,
Luxembourg,LU,new MFH,Solar thermal,2020,heating,0.98,0.64,0.92,500,0.65,0.35,2.8,0,25,
Malta,MT,new MFH,Solar thermal,2020,heating,1.16,0.24,0.85,484,0.65,0.35,2.6,0,25,
Netherlands,NL,new MFH,Solar thermal,2020,heating,0.87,0.86,0.88,500,0.65,0.35,2.6,0,25,
Poland,PL,new MFH,Solar thermal,2020,heating,0.66,0.19,0.52,287,0.65,0.35,1.6,0,25,
Portugal,PT,new MFH,Solar thermal,2020,heating,1,0.3,0.77,438,0.65,0.35,2.3,0,25,
Romania,RO,new MFH,Solar thermal,2020,heating,0.8,0.11,0.57,321,0.65,0.35,1.7,0,25,
Slovakia,SK,new MFH,Solar thermal,2020,heating,0.81,0.24,0.66,351,0.65,0.35,2,0,25,
Slovenia,SI,new MFH,Solar thermal,2020,heating,0.88,0.3,0.73,391,0.65,0.35,2.2,0,25,
Spain,ES,new MFH,Solar thermal,2020,heating,0.89,0.51,0.82,439,0.65,0.35,2.5,0,25,
Sweden,SE,new MFH,Solar thermal,2020,heating,1.01,1.02,0.98,585,0.65,0.35,2.9,0,25,
United Kingdom,UK,new MFH,Solar thermal,2020,heating,0.87,0.71,0.85,470,0.65,0.35,2.5,0,25,
Austria,AT,new SFH,Solar thermal,2030,heating,0.82,0.81,0.9,409,0.65,0.35,14.3,0,30,
Belgium,BE,new SFH,Solar thermal,2030,heating,0.92,0.88,0.88,454,0.65,0.35,14.1,0,30,
Bulgaria,BG,new SFH,Solar thermal,2030,heating,0.73,0.09,0.52,254,0.65,0.35,8.2,0,30,
Croatia,HR,new SFH,Solar thermal,2030,heating,0.83,0.23,0.66,311,0.65,0.35,10.6,0,30,
Cyprus,CY,new SFH,Solar thermal,2030,heating,1.02,0.36,0.73,394,0.65,0.35,11.8,0,30,
Czech Republic,CZ,new SFH,Solar thermal,2030,heating,0.8,0.24,0.63,303,0.65,0.35,10,0,30,
Denmark,DK,new SFH,Solar thermal,2030,heating,1,1,1,500,0.65,0.35,16,0,30,
Estonia,EE,new SFH,Solar thermal,2030,heating,0.82,0.3,0.72,319,0.65,0.35,11.6,0,30,
Finland,FI,new SFH,Solar thermal,2030,heating,0.94,0.87,0.92,457,0.65,0.35,14.7,0,30,
France,FR,new SFH,Solar thermal,2030,heating,0.93,0.8,0.84,441,0.65,0.35,13.4,0,30,
Germany,DE,new SFH,Solar thermal,2030,heating,0.89,0.69,0.82,410,0.65,0.35,13.2,0,30,
Greece,EL,new SFH,Solar thermal,2030,heating,0.81,0.29,0.74,313,0.65,0.35,11.9,0,30,
Hungary,HU,new SFH,Solar thermal,2030,heating,0.76,0.15,0.57,274,0.65,0.35,9.1,0,30,
Ireland,IE,new SFH,Solar thermal,2030,heating,0.87,0.69,0.83,403,0.65,0.35,13.2,0,30,
Italy,IT,new SFH,Solar thermal,2030,heating,0.94,0.6,0.87,412,0.65,0.35,13.8,0,30,
Latvia,LV,new SFH,Solar thermal,2030,heating,0.76,0.19,0.68,281,0.65,0.35,10.9,0,30,
Lithuania,LT,new SFH,Solar thermal,2030,heating,0.81,0.18,0.66,295,0.65,0.35,10.6,0,30,
Luxembourg,LU,new SFH,Solar thermal,2030,heating,0.98,0.64,0.92,432,0.65,0.35,14.8,0,30,
Malta,MT,new SFH,Solar thermal,2030,heating,1.16,0.24,0.85,419,0.65,0.35,13.6,0,30,
Netherlands,NL,new SFH,Solar thermal,2030,heating,0.87,0.86,0.88,432,0.65,0.35,14.1,0,30,
Poland,PL,new SFH,Solar thermal,2030,heating,0.66,0.19,0.52,248,0.65,0.35,8.3,0,30,
Portugal,PT,new SFH,Solar thermal,2030,heating,1,0.3,0.77,379,0.65,0.35,12.4,0,30,
Romania,RO,new SFH,Solar thermal,2030,heating,0.8,0.11,0.57,278,0.65,0.35,9.1,0,30,
Slovakia,SK,new SFH,Solar thermal,2030,heating,0.81,0.24,0.66,303,0.65,0.35,10.6,0,30,
Slovenia,SI,new SFH,Solar thermal,2030,heating,0.88,0.3,0.73,338,0.65,0.35,11.8,0,30,
Spain,ES,new SFH,Solar thermal,2030,heating,0.89,0.51,0.82,380,0.65,0.35,13.1,0,30,
Sweden,SE,new SFH,Solar thermal,2030,heating,1.01,1.02,0.98,505,0.65,0.35,15.7,0,30,
United Kingdom,UK,new SFH,Solar thermal,2030,heating,0.87,0.71,0.85,406,0.65,0.35,13.6,0,30,
Austria,AT,new MFH,Solar thermal,2030,heating,0.82,0.81,0.9,391,0.65,0.35,2.7,0,30,
Belgium,BE,new MFH,Solar thermal,2030,heating,0.92,0.88,0.88,435,0.65,0.35,2.6,0,30,
Bulgaria,BG,new MFH,Solar thermal,2030,heating,0.73,0.09,0.52,244,0.65,0.35,1.5,0,30,
Croatia,HR,new MFH,Solar thermal,2030,heating,0.83,0.23,0.66,298,0.65,0.35,2,0,30,
Cyprus,CY,new MFH,Solar thermal,2030,heating,1.02,0.36,0.73,377,0.65,0.35,2.2,0,30,
Czech Republic,CZ,new MFH,Solar thermal,2030,heating,0.8,0.24,0.63,290,0.65,0.35,1.9,0,30,
Denmark,DK,new MFH,Solar thermal,2030,heating,1,1,1,479,0.65,0.35,3,0,30,
Estonia,EE,new MFH,Solar thermal,2030,heating,0.82,0.3,0.72,305,0.65,0.35,2.2,0,30,
Finland,FI,new MFH,Solar thermal,2030,heating,0.94,0.87,0.92,437,0.65,0.35,2.8,0,30,
France,FR,new MFH,Solar thermal,2030,heating,0.93,0.8,0.84,422,0.65,0.35,2.5,0,30,
Germany,DE,new MFH,Solar thermal,2030,heating,0.89,0.69,0.82,392,0.65,0.35,2.5,0,30,
Greece,EL,new MFH,Solar thermal,2030,heating,0.81,0.29,0.74,300,0.65,0.35,2.2,0,30,
Hungary,HU,new MFH,Solar thermal,2030,heating,0.76,0.15,0.57,263,0.65,0.35,1.7,0,30,
Ireland,IE,new MFH,Solar thermal,2030,heating,0.87,0.69,0.83,386,0.65,0.35,2.5,0,30,
Italy,IT,new MFH,Solar thermal,2030,heating,0.94,0.6,0.87,394,0.65,0.35,2.6,0,30,
Latvia,LV,new MFH,Solar thermal,2030,heating,0.76,0.19,0.68,269,0.65,0.35,2,0,30,
Lithuania,LT,new MFH,Solar thermal,2030,heating,0.81,0.18,0.66,283,0.65,0.35,2,0,30,
Luxembourg,LU,new MFH,Solar thermal,2030,heating,0.98,0.64,0.92,414,0.65,0.35,2.8,0,30,
Malta,MT,new MFH,Solar thermal,2030,heating,1.16,0.24,0.85,401,0.65,0.35,2.6,0,30,
Netherlands,NL,new MFH,Solar thermal,2030,heating,0.87,0.86,0.88,413,0.65,0.35,2.6,0,30,
Poland,PL,new MFH,Solar thermal,2030,heating,0.66,0.19,0.52,238,0.65,0.35,1.6,0,30,
Portugal,PT,new MFH,Solar thermal,2030,heating,1,0.3,0.77,362,0.65,0.35,2.3,0,30,
Romania,RO,new MFH,Solar thermal,2030,heating,0.8,0.11,0.57,266,0.65,0.35,1.7,0,30,
Slovakia,SK,new MFH,Solar thermal,2030,heating,0.81,0.24,0.66,290,0.65,0.35,2,0,30,
Slovenia,SI,new MFH,Solar thermal,2030,heating,0.88,0.3,0.73,323,0.65,0.35,2.2,0,30,
Spain,ES,new MFH,Solar thermal,2030,heating,0.89,0.51,0.82,363,0.65,0.35,2.5,0,30,
Sweden,SE,new MFH,Solar thermal,2030,heating,1.01,1.02,0.98,484,0.65,0.35,2.9,0,30,
United Kingdom,UK,new MFH,Solar thermal,2030,heating,0.87,0.71,0.85,389,0.65,0.35,2.5,0,30,
Austria,AT,new SFH,Solar thermal,2050,heating,0.82,0.81,0.9,370,0.65,0.35,14.3,0,30,
Belgium,BE,new SFH,Solar thermal,2050,heating,0.92,0.88,0.88,411,0.65,0.35,14.1,0,30,
Bulgaria,BG,new SFH,Solar thermal,2050,heating,0.73,0.09,0.52,230,0.65,0.35,8.2,0,30,
Croatia,HR,new SFH,Solar thermal,2050,heating,0.83,0.23,0.66,282,0.65,0.35,10.6,0,30,
Cyprus,CY,new SFH,Solar thermal,2050,heating,1.02,0.36,0.73,356,0.65,0.35,11.8,0,30,
Czech Republic,CZ,new SFH,Solar thermal,2050,heating,0.8,0.24,0.63,275,0.65,0.35,10,0,30,
Denmark,DK,new SFH,Solar thermal,2050,heating,1,1,1,452,0.65,0.35,16,0,30,
Estonia,EE,new SFH,Solar thermal,2050,heating,0.82,0.3,0.72,289,0.65,0.35,11.6,0,30,
Finland,FI,new SFH,Solar thermal,2050,heating,0.94,0.87,0.92,413,0.65,0.35,14.7,0,30,
France,FR,new SFH,Solar thermal,2050,heating,0.93,0.8,0.84,399,0.65,0.35,13.4,0,30,
Germany,DE,new SFH,Solar thermal,2050,heating,0.89,0.69,0.82,371,0.65,0.35,13.2,0,30,
Greece,EL,new SFH,Solar thermal,2050,heating,0.81,0.29,0.74,283,0.65,0.35,11.9,0,30,
Hungary,HU,new SFH,Solar thermal,2050,heating,0.76,0.15,0.57,248,0.65,0.35,9.1,0,30,
Ireland,IE,new SFH,Solar thermal,2050,heating,0.87,0.69,0.83,365,0.65,0.35,13.2,0,30,
Italy,IT,new SFH,Solar thermal,2050,heating,0.94,0.6,0.87,373,0.65,0.35,13.8,0,30,
Latvia,LV,new SFH,Solar thermal,2050,heating,0.76,0.19,0.68,254,0.65,0.35,10.9,0,30,
Lithuania,LT,new SFH,Solar thermal,2050,heating,0.81,0.18,0.66,267,0.65,0.35,10.6,0,30,
Luxembourg,LU,new SFH,Solar thermal,2050,heating,0.98,0.64,0.92,391,0.65,0.35,14.8,0,30,
Malta,MT,new SFH,Solar thermal,2050,heating,1.16,0.24,0.85,379,0.65,0.35,13.6,0,30,
