nuts2_id,heating_or_cooling,sector,120%load_factor
UKE4,heating,residential,0.000393348
UKF1,heating,residential,0.00039399
UKF2,heating,residential,0.000406948
UKF3,heating,residential,0.000399276
UKG1,heating,residential,0.000414065
UKG2,heating,residential,0.000407454
UKG3,heating,residential,0.000411839
UKH1,heating,residential,0.000402308
UKH2,heating,residential,0.000410198
UKH3,heating,residential,0.000402157
UKI3,heating,residential,0.000408513
UKI4,heating,residential,0.00040837
UKI5,heating,residential,0.000405112
UKI6,heating,residential,0.000402587
UKI7,heating,residential,0.000420529
UKJ1,heating,residential,0.000414265
UKJ2,heating,residential,0.000413823
UKJ3,heating,residential,0.00040654
UKJ4,heating,residential,0.000404158
UKK1,heating,residential,0.000420001
UKK2,heating,residential,0.000412764
UKK3,heating,residential,0.000403312
UKK4,heating,residential,0.000395394
UKL1,heating,residential,0.000402363
UKL2,heating,residential,0.000403808
UKM2,heating,residential,0.000383072
UKM3,heating,residential,0.000389616
UKM5,heating,residential,0.000395256
UKM6,heating,residential,0.000392718
UKN0,heating,residential,0.000401944
AT11,heating,service,0.000394109
AT12,heating,service,0.00039599
AT13,heating,service,0.000363884
AT21,heating,service,0.00032502
AT22,heating,service,0.000374509
AT31,heating,service,0.000356669
AT32,heating,service,0.000317702
AT33,heating,service,0.000299883
AT34,heating,service,0.000321055
BE10,heating,service,0.00038356
BE21,heating,service,0.000389266
BE22,heating,service,0.000380108
BE23,heating,service,0.000382459
BE24,heating,service,0.00037946
BE25,heating,service,0.000375137
BE31,heating,service,0.000354859
BE32,heating,service,0.000357686
BE33,heating,service,0.000349954
BE34,heating,service,0.000349967
BE35,heating,service,0.000353153
BG31,heating,service,0.000523605
BG32,heating,service,0.000533661
BG33,heating,service,0.000550526
BG34,heating,service,0.000548395
BG41,heating,service,0.00042173
BG42,heating,service,0.000490467
CY00,heating,service,0.000733561
CZ01,heating,service,0.000406543
CZ02,heating,service,0.000384002
CZ03,heating,service,0.000358087
CZ04,heating,service,0.000370626
CZ05,heating,service,0.000395969
CZ06,heating,service,0.000417473
CZ07,heating,service,0.000418947
CZ08,heating,service,0.000449579
DE11,heating,service,0.00037366
DE12,heating,service,0.000393478
DE13,heating,service,0.000363908
DE14,heating,service,0.000345492
DE21,heating,service,0.000347053
DE22,heating,service,0.000382584
DE23,heating,service,0.000402428
DE24,heating,service,0.000381434
DE25,heating,service,0.000373649
DE26,heating,service,0.000365916
DE27,heating,service,0.00034989
DE30,heating,service,0.000417837
DE40,heating,service,0.000420535
DE50,heating,service,0.000369739
DE60,heating,service,0.000377453
DE71,heating,service,0.00036244
DE72,heating,service,0.000360434
DE73,heating,service,0.000367095
DE80,heating,service,0.000414056
DE91,heating,service,0.000383649
DE92,heating,service,0.00038681
DE93,heating,service,0.000379314
DE94,heating,service,0.000375372
DEA1,heating,service,0.00036205
DEA2,heating,service,0.000355564
DEA3,heating,service,0.000377636
DEA4,heating,service,0.000404453
DEA5,heating,service,0.000348545
DEB1,heating,service,0.000347373
DEB2,heating,service,0.000347688
DEB3,heating,service,0.000370528
DEC0,heating,service,0.000360893
DED2,heating,service,0.000397088
DED4,heating,service,0.000358328
DED5,heating,service,0.000390992
DEE0,heating,service,0.000404312
DEF0,heating,service,0.000357285
DEG0,heating,service,0.000370825
DK01,heating,service,0.000344661
DK02,heating,service,0.000337146
DK03,heating,service,0.000346926
DK04,heating,service,0.000336981
DK05,heating,service,0.000341172
EE00,heating,service,0.000354591
EL42,heating,service,0.000575254
EL51,heating,service,0.000560575
EL52,heating,service,0.000488306
EL53,heating,service,0.000428334
EL54,heating,service,0.000475578
EL61,heating,service,0.000514077
EL63,heating,service,0.000453972
EL64,heating,service,0.000421522
ES11,heating,service,0.000416664
ES12,heating,service,0.000404159
ES13,heating,service,0.000385566
ES21,heating,service,0.000383221
ES22,heating,service,0.000394596
ES23,heating,service,0.000408387
ES24,heating,service,0.000389079
ES30,heating,service,0.00042001
ES41,heating,service,0.000380905
ES42,heating,service,0.000451494
ES43,heating,service,0.00046941
ES51,heating,service,0.000397796
ES52,heating,service,0.000466678
ES53,heating,service,0.00046056
ES61,heating,service,0.000498933
ES62,heating,service,0.000492977
ES70,heating,service,0.000515966
FI19,heating,service,0.000318492
FI1B,heating,service,0.000340169
FI1C,heating,service,0.00033054
FI1D,heating,service,0.000294528
FI20,heating,service,0.000365281
FR10,heating,service,0.0004092
FR21,heating,service,0.000372212
FR22,heating,service,0.00037856
FR23,heating,service,0.000378294
FR24,heating,service,0.000408824
FR25,heating,service,0.000353297
FR26,heating,service,0.000370389
FR30,heating,service,0.00036955
FR41,heating,service,0.000372185
FR42,heating,service,0.000414824
FR43,heating,service,0.000370206
FR51,heating,service,0.000393028
FR52,heating,service,0.00034132
